Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
4					1		1			1								3			18		1	1		33	11				9				3		3	7		1						1			24	2		1	2				1				24				3		1	2		1																	1	1							18			1521													42		7					7		3		34														1		21										3				2	9																								
2							1				1							1			2					110	11										1	2		1						1			2								1			1	22										6																1								14		1	110			4										49		3					2				36																9										10		1															1												
10	1					2	2				1							1			3					148	10		1		20				9		14	8	1										29										1		92	2								36				2	1								1		4		7								3		3	2349			2			4	4						56		6			4		1				50						8						1				20				1		1				8				18	4											1	1											1	
																					1					42	1				15				1		1		1					3					15												6													1											1		2											187				462									3		2					1				9						16										1						1								1	5																								
8	6						3		1	2	1							1			21			1		14	14				6						2	2								5			9								2				3										1		1		1								3				2	1		1					1		3	54	4		1				5						68		15					1				51				5												5									1						3																								
1							4				2							10			22	1			1	10	12		7	2	4				3		1	17					1	5		2			91								2			1	11				1						4														1		3	3								2		68	2	1	1				1						93		33			1		1				77						8	1	1							1	6						2		1		1				1	3										2		2			1									
8	4						10		1		3							2			14			2		11	10		5		4			2				4											4											1	5										1												2				2	1							3		3	29			7										170		34			3		3		3		83				12												6												3			3										4		3												
					2		9			2				4				3			32			2		7	2				6							22			1					2			6								1				2	1									1				1	4							3			1									1		2	23	4												116		37					1		3		59		1		5												14										4					7										2														
1							6			3								5			37					5	10				10							8								2			14				2				2		1		5												1			1							2				2								4	1	1	48		1	1				1						82		24			3		3	1	1		105		1		7								1				9										8					7										4														
3							1				2							3			13					2	2				3							4								1			26												1										3				1											1												15	1												119		17					2		3		47																2										3					1										3														
11	1					1	5			1								6			12					4	5		6		9	1			1			18					3	1					40							1	3				3									1			1		1								2				3								2		2	29	6	1	2		2								192		32			1		2		5		86															1	5										6				34	14										3		7												
7					1		4		1					1				7			29			1		7	4				5							10								3			30										3		5										2												1				1										3	34	2						2						142		52					2		4		72		3		11												4										1					10										2														
10					1		4										3	6			15	1				2	2		5		3				1			39	1				2	5		1			78								1								1						1					1											1					1			1		2	18	4		1										159		59					1		2	1	89						2										2														3	9												1			2									
12	2						6	1	1		2							4			19					4	1		5		4				1			10		1			4			3			39				2			3	1		1		1	1												1									6			1				1	2				3			30					2		5						130		34					1		2		58		1				1										7				3						7				22		1									2		1												
5					1		5	1			1							5			41					1	4		11		2				1			30					10	4					146				1				1		2											1				2	2								4				3									3	2	15	3												169		41							3		70						6									1	4							1							4	2												4			2									
9	5						3		2	1								6			7			1		4			1		15	1					1	30					2	2		3			28								4		1		8				1		3								1								2				4								2		1	39	11		2				2						128		34			6		1		3		62						2										4						1				7				35	24										1		2												
5					1		5		4						1		1	11			14					2	4		3		3				1			15					5	5					109								3			2					1						5				1							1	3				2									1	1	15	5												128		57			3		2		6		62			1			4																				2				3	4												1			1									
7									2	3	3							11			3					5	8		3		7				7			19						1					54							1	2		1			1			3					2					2												1	1			1				1	8	1	26			1				1						89		46			1		3		5		37						2		1							2	7										4				5	4												10												
3							3		2		6				1			11			17						2		4		4				1			16					6	4		1			101										2		1	1			1						1			1	2								4													1		4	1		1				4						219		86			1		5		2		66						1										1										3				9	5										4														
7	13						4		1	1								24			18			2	1						4	1						12						3		4			21				1								2	3								1					2												1								1	2	3	10	7	1	1				4						145		62			3		1		5		53						1	1									4										8				32	5		3								4		11												
5							10				6							39			6			1		1	2		5		4				3			16					6			2			76						1					2	1	1								1	2	1			2							1	1		1		2								1	1	1	16	2						1						182		62			1		6		12		72						1																				9				5	4	2									2					1									
