Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
1							10		1		7							9						1							3							10						3					127				1				1																	1	1	1						1	3				1			1					2				53	7	3										519		64			8		2		19		833						5					1																																			2									
							8				9							11			3										13							7			1								85				7				3		1								3						3										2			3	2								3		2	12	53						13						154		45			2		2		6		887		1										2				3										1															2														
	10						13		7		10							4			7						3				10			2				5											18																		2				1				1	1							4			2	1								1		1	12	47	1	7				8						274	2	50			3				16		510		4		7												2			1							1		2													3														
							5		4		33							18			3					1		1	1			1						3					1	2					144				8				5								1										1	1							2				1								1				25	5	2										469		82			6				13		472						3					1				1	3														1											1		1												
1							14		2		20						1	15			3			4				3	1		9							6	2					3			1		220				9				2		1						4						2		1	2								4	1				2	6			1				3			7	41	8	9										1247		86			8				38		1488			1			7	1				2				2	1							1			3				1											5					2									
							9			1	8							10			1			1							1	1			1			8						7		3			111				8						1																	1						2	1				2												39	8	3										395		30		2	5				9		845						3										2																									2					3									
							11				18							8			1	1		1				2			1							4						1					68				5	1		1	3		1								3								1							1	1															1	61	2	5										297		63		2	4				11		745						7										1																										1				1									
1							10		1	1	23							8			4			4		2	1	1			9							10			2					3			23				23						2		1						1						2		1	1							5			4		1							1			7	44	2					2						222		32		1	1		1		17		806				7												3										2															5														
							13				14							13			3	1		1	1						5							2						7		2			119				8						1												2			1								1	1	1			2	1							2				66	21	4										664		58		1	3		5		17		894					1	2										2						1				1				1	1															2									
						1	5		1	1	11							10			1						1	3			2				1			2						2		4			43				17												2										1		1						2			1	1								1			1	43	4	12		1								616		54		1	12			1	17		793		1														2										3				3											1														
							14				22				1			4				2		3				2			3				1			1						3		2			117				9			1								4								1				1	1						4				5								2				85	3	6										478		45		4	5				14	1	1183						4																								1											2														
	5						8		2	1	28							15			5			2		2	2							3				2								1			14								1										1				1					1					2		1				1											12	34	3	13										718	2	57			3				17		832		4		1																					1	1															5		7							3					
							14			1	13							18			1	4						1			4				1			13					1	4	1	1			123				8				2		1			1												2		2	1					6	2				1								4				66	10	1										640		46			6				7		787						6	1									2										3				2											5		2			1									
1							17	1		2	16							9			10	4		2			2								1			5	1							1			55		2		11				1													1			3										3												2			3	48	8	9										219	1	15		1	6				7		506														2		1														5	3		1								2														
							5				10				1			13				1			1			2			5							1	1				1	3		2	1		83				6																		1	2	1									2										1			1			1	100	3	2				1						441		30		1	1				9		440						3					1					1										2				4											2														
							11		1		21			1				13			4			1			3				5							10			1					4			13				2						2								2						1		1	1							5												1			6	47	5					7						539		34			3		2		23		743				5												5										1															4														
							15				22				1			12			3			1	1			1			5				1			4	2				1	5		4			110				6				1							2								1	1									1	3				2	1							1			1	58	3	4										231		44		4	4		4		15		775						3										1										1															3	1													
							16	1			15							8			1	1		1				3			2				1			5						2					46		1		6														1																3							2		14			1	1		2	20	13	23										382		50			14				9	1	567					1	6									1	1										4					1										1														
							6			1	9							10			1	4						2	1		4							7						3		5			96				8									1			2						1					1						3	3				1								4				57	12	1										417		38		1	4				10		672						4	1				1					2										1				1																1									
2							19		1	2	22							14									3				7							9								3			31				2				1										1								3	1							1				2								8			3	75	4	11				4						250		9			1		2		26		564				1												5																									3														
	7						20				21						1	7			1			2			6	2						2				10								2	1		45								2				2						2									1					3					2				1		1			3		1	13	79		4										288	3	25			4		1		9		464		1		10												1				1		2				1		1													1		3							2					
							14			1	22							13						1				3			6															2			33		1		10				2										1							2									4				4					23							57	1	21							1			181		17			5		1		9		408			1			3																				3					3										4												1		
							10		1	1	15							7							1						4							6					2		1	2			64				8				1														1	1			1	1							1												1				81	12	4				2						209		51							14		449			1			6									1	1							1			1				1	1										1					1									
1							24				18							6				2		2	2			1							2			7					3	4	1	3			106				7				2			1							1				1			1			1					1					2												53	5	6										226		64			7				6		392					1	8	1									1										1															5					1									
1							14		1		33							16			2			1		1	2	1			8							2								4			175				4														5			1			4		1								1												2			3	44	8				3	3						164		15			3				5		465				1								1				6																									9														
							13			7	21							17				1		2	1		3				19	1						4								4			103				6		2	1	4		1						8					1	2				1	5	1						2			1	1					22			4				24	5	5							1			63		6		1					5		504		1				9										2										2															3		1												
							13		1		23							8	1		1			3											1			2	3				3	2					117				5									1			1										1							9	1				2	5							1		1		53	5	10										629		42		1					64	1	509					1	3	1									3							1								1										3														
	5						13		2		15							6			6			2		1	6	2						2				5								1			31								4				1						3						1		1	2							1			1		3							3			16	20	1	5										350	5	31			11		2		27		357		6		5												1												4							1	1					3		5												
							13				20							13			3	2		1				2			3							8	1				2	4					160				5						1		1												1		1	2						7					2					1			3				67	6	6				1						224		21	1	1	2		2		7		560			1			11	1				1					1										2															1		1			2									
							5		1		26				1			3			6			1			3				1			3				8								4			11								4										1								2	2							4				1											15	20	6	17										109	1	23			14			4	16		312		1		5	2				2							1												1								1					8		5				1								
							9			1	23							13			2			8							3							17								5			30								1		1								1			1	1		1		2	2							1				2		1						2			12	27	6	7										106		10			11		3	10	12		402		1		7												10															1										20														
							5				14							5						1				1																8		2			54				14			1	3																2			1						1	2				3			1									110	3	4				3						279		23		2	1		1		32		607						5	1																							1																									
							9	1			26							11			1			2	1			1	3		1							18					4	3		2			145				1				3																2	1	3								1				1	1							1				44	5	1										235		55			4		1		30		477						8					1					5							1							3											1		2												
							7	3	5		17							19			3				2		1	2			1							14					1	11		1	1		319				4				5		2																1							5	1				2	1							1		2	1	49	2	3										105		46					1		5		310						5										2							1							10													1												
2		1					7			1	30							7			5	1			1		1	2			4							13					1	3			1		366				6				5								2						1			6								1	1				3	1							2		2	1	35	3											141		96			5		1		14		311			1			5					1					5							1							1													3												
2							2	1		2	9				1			8			4			1	2			1			2							7						3					296				6				2		1								2						1	1	1		1					1	1				3	1								1	1		42	4	2										90		97					1		5		101						2									1	1										1															1					1									
1							5		1	5	15							1			6						2				3			10				10								1			112								4														1				1											1									4		2	11	56		3										148		39			1		1		7		129				8												3									1			1							1						1														
1							5		2		7							11			3							2			1							16					1						239				6				8															1			1																				2	4	1	1	8	1											151		124		1			3		6		139							1									3							1																				2												
1							4		3		21							8			2			1	2			3	3									50											112				14				7														1				1	1						3					3									1			10	1	2										152		93			1		5		3		94			1			2										3										2															1														
							1	1	4		9							20			1					1		1										89						1					54				1				8	2													2				2							1				1	1	2								1	1	1	2	2											101		66							4		55						2									1	1										1																													
4							5	2	6	2	4							11			6					1	1				6							90			2								38				3			1	3														2				3											4											1	4	8	2											93		34			1		1		3		97				3												1																																							
5							7		20		13							45			2	1						1	1		2							6					2	3	1	1			88				5				4	1													1				2							2													3		4	7	23	1	1										121		45			1		5		11	2	77						3	1								1	2							1			2																	2												
							5		11	1	11							31			1			1			1	1	9		1							9					4						150				1				6			6							1				4			1	2		1					3	1					1							1	6		4	9	4	3										83		82			1		4		17		131			3			6									1	3										8				2											1		1												
2							7			1	32							12			4							1	1		12				5			8						1		2			128				6				1				1				1					1	2		1				1						1									3			2		3	4	11	6	21				1						98		20		1	9				11		339			2			6										4														4											3		4												
3							4				34				1			12			7			3	1			1			1							4					4	6		6			221				1				4		3	1										1												5					1								1		1	1	23	1	6										112		59			2		3		9		295						12										6										1				1	1												2			1									
1					1		7		5		25							7			7			1				1	5		1							4					4				1		206				5				10										1			1	1											1					1								3		1	2	15	4	3		1								160		69		1	4				13		321			1			11										2										1																	7												
							11				23							9			3	2				1		6	6		2				3			8					6	4		1			173				2				9			1		1					1									1						3	1				1	2								1			18	2			2								237		77			3		2		9	1	332						8										1														1													1												
1							8				11							10			2			3				2	1		3	1			3			3						1		4			115				3			1	3																			1						5	2				1	1									2	1	19	5	2				1						188		98			4		1		11		318						3	1									1														1													1												
2							2				15							7			4				1		1		3		2	1			1			5					1	2		2			217				2				16		1												1			1	1	1						3					2	2							1	1		2	7	2	3										105		90		1	2				6		198						6					1					1						1								1											1		2												
1							7				22							15			2	1			1	1		1	1		1			1	1			15					1	1	2	2			212				2				8					1									1		1		3							2	1				1								2	1		3	24	2	4										153		86			2		1		6		224						3										1						2																			3		2												
1							5	1	5		18							12			2					1		2	3		3				3			7						4		3			109				4			1	11										2						1			1						2	1					1							2	2	1	8	17	3	2		1								96		77			3				6	1	209			1			4					1					1														5											1		3			2									
1							6	1	2		25							14			6			2				3	1						1			5					3	3		2			184				3				6		1						1					1	1				3							3		1			2								1				8	1	5		1								186		58			4		3		12	1	314						10					1				2							1		1						3	1												4												
							7		2		19							4			6	1						1	2		3												5	1		2			173				2				17		1								1									1						7													1				12	3	4										169		86			2		2		5		257						7									1	3															1									1			1												
							5	1	1		20							13			3			1				1	3		3	1						9					4	4		1			150				5				12								1										1		2					5													3		1	4	17	5	7										241		61	1		7		2		8		249						9	2								1	1										2															2					3									
							5		2		35							16			9						2	4			1				1	1		6					8	5		1			137								8								1						1				1							5				1	4	1							5	1	1	1	8	3	4										240		65			3		1		13		289			1			11										6										2				2											4		3			1									
2		1					10		1		23							8			6								6		10				11			7						1		2			133				3				6								1						1		1		3	3											3	1							2		1	1	17	5	3										122		46		2			1		14	2	250						5										1										2				4											1														
							7	2	1		37							5			4			1	1			2			4				1			4					2	4		1			172				3				3								2		1				3					2						6					1								3		1	2	19		7										192		65		1	6		1		13		315			1			2	2									5										1				1	1			1							1		4			1									
1							10			1	33							8			7			1					3		5							2	1				5	5		3			175				3				12		2						1						1						1					4			1		2								4		2	1	25	6	3										132		40		1	1		1		14	1	287						4	1									1														1											1														
1							14			1	33							15			9						1	1			5							6					7	6		1			184				1				8	1	1					2										2								7					3					1			3		1	1	9	3	4		1		1						181		42			3		3		21	1	252			1			8					1				2	4							1			1														1	3		1			1									
1							8				22				1			10			4			1				4			1				1			7					6	9		6			146				3				14	1	1		1										1	1		3	1	2						10													5				21	2	5				1						144		56		1	3		3		5		271					1	5	2									4						1									1												4			2									
							4		3		31						1	12			6			1				7	1		1				1			7					8			3			209				2				8														1				1	2						6	5				3	1				1			1	2		2	17	7	3				1						209		78			7				20	1	391						10										3						1									1										4		4												
1							8	1			37							23			5						1	1	1		1				1			7					9	8		4			203				6				8	1				1					1				1				5	1						4					3	1							7			2	36	4			1								168		36		1	6		3		10		369						8									1	3										1				2																									
1							16	1			28							10			10			2		1		3	2		3				1			4					4	3		1			108								5		1											1		1										9	2					2							1			1	19		2		1		1						262		59			3		1		6		274						9																								2																									
2							8		1		33							8			7			1	1			5	2		2				1			8					3	3		3			183				1				12														1			2	1		1					4	1				1	1							4			4	13		6										118		49			3				15		203			1			5										2										2				2													1												
1							12				36							14			21						1	8			7							12								1			216				6				7										2				1		2					2					1	1		2	2								3			2	27	8					2						174		13			3		2		17		268												1	1			8				1																					10										1				
							8			1	46				1			19			6							5	1		6				1			7					4	2		1			189				3				5		1											1	1		1	1	1							5						1			1					1		2	11		4										236		48			2		1		19	3	194			1			5										5														1													2												
3							3	1		2	18							15			5	1				2		6	2		6				1			17						2		4		1	139				4				17										1					1	1	1	1	1										1	2					6			5		1	6	7	1	7										189		25			2		1		14		310					1	9									3	4																											12												
1							3	1			21							9			7			1				4			1							13					6	2		2			251				1				5	1				1			1					1	1				1							2	2				1									2	1	2	24		3				1						148		64			2		1		15	1	185						2									1	2															1												5			1									
							3	1			15						1	12			8			1				1	6		1	1			1			7					5	1		3			232				2				6	1			1											1			1							2	1				2	1				1			1				26		3				1						122		81			1		3		11		182						11									2	5										1					1												2												
							2				14							12			7						1	1	7		3							13					1	1					226				2				7				1										1				1							2													2		1	2	5	1											53		106			1				3		86						7	1									2																										1													
3							10	1	2		33							21			18							5			10			2				8	2							1			262				9				9														1				2	1										4	1										1	7	11												135		19					3		13		182				4												6												1													4														
7							4	1	4		17							13		1	1				3			3	3		5				1			6					2	2					75				2			1	10	1							1					1					3							1	1				2										1	2	12		3		2								90		66	1		2		2		2		94			1			3	1				1					2										3				1	1	1											1			1									
7							3	3		2	23							19			3								4		2				1			6						8		3			125				2				2	1																1	1	1									1		2	1							1	2	1		19	1	7				1						181		56		1	2		1		17		238					1	7	1									2							1			3															2					1									
3							4		2		41							14			10				1			3	1		4				5			12						1		7			75				3				3								2									2	3	2						3	1				2	1							5		1	2	35		4										125		46		1	8		2		12		286						4										2										3				1											3		6												
3							4		2		66							27			8	1						3	2		8				6			4						1		10			219				4				16	2					1		3						1		1	2	3	3						3	2	1			5			1					6	2	1	3	49	8	6		2								290		119		1	11		4		26		353			1			11	3								1	2										2				1											1		7			1									
							2		1		15							19			3			1					14		5				1			8						7	1	3	1		272				12				3	2													1		1	1			1					3					1				1				2	1			38	4	5		1								118		44		1					5		132						5	2									1														1													5												
10							1				6							8			8								1		5			2	2			15						5		2	1		413				20		1		4												2														1				1								2	1	2		7	2	3										99		74			3		1		4		104						2	1									7																									2		2			1									
							3	1	1		4							18			4							2	2		5				2			37						2		1			195				9				4														3												1					1							2	1			5	1											83		110			3		1		3		47					1		1									1								1		1				2													3												
1							1	1	1		2							5			3							1										16					1	3					74				5				1														1				1													1							1	1	1	1	3		2										65		48					3		2		52																1														2													3												
							3	9	9		4				1			7			6	1					1	1	6									72						1					91								6														1											1	3			1	1				2	1					1		4	1	1				1						82		51		1	1		1		5		63						5																				1				1													1												
14							2	1	24		8							13			2								1						1			71					1	2					78								1														2			1																					1		4	1	5												101		85							3		45						2	1									2								1		1																													
4							3	1	4		15							28			26						1	3			4							45			1								60								3		1								2				1				2			1					2						1								1	9	6	1	3				1						91		31			2		2		7		131				3												5										3															1														
							3	3			33				1			8			12						2	1	2		2							4					7	3		1			165				1				15				1	1									1					1						4					1	1							3		1	2	25	7	8										189		32					3		8		266						9					2					4					2					2															1														
1					1		9				42							14			20					1	2	6			12							10	1							2			45							1	8		1												2				2	2								1		1	2								1			8	19	9											206		16			6		5		10		383				4												3																									3														
							6		2		19							18			7								8		2	1			2			8					8	4		1			112				4		1		8	1				3																				4	2				8								6	2			19	2	2										202		38			4		4		17	1	315						9									2	3						1				1				5													2												
1							4	1	1		29							13			8							1	1		8				1			3						1	2	4			49								8					1								1					1	2							1				2	1				5			12			4	3	5	16		1								222		30			11		2		20		354					3	3										4														1								1			12		3												
1							4				28							11			3	4		3	1			4	2		4				4			4						14		5			107				2				6								2		2					1		3	1	2						3					3	1						2	6		1	2	7	3	2		1								117		38			9		2		4		314						10									2	2										2															4		4												
1					1		8	1	1		24				1			6			12						2	5			2							9					4	6					269				2				7		1						3						2		1		2											1	3	2							3				15	1	2				6						421		44			1		1		12	1	540						7					2				1	6						1								1											1		2												
							3		3	1	29							22			27			2				7			7							7								1			61				3				5				4	1											3		1																				3		1	24	17	3											139		38			1		2		10		223		4		3								1				7										2					1										4														
							1	1	2		18							12			11	1			1			1	4		7	1			1			9					1	1					189				3				16			1											2					1	1					3	2				2								3		1	2	9	1	2										236		65	1		1				9		242			1			8					1				1	3						1				1				1											2		4												
1							4		2	2	37							13			1				1	2		5			10				1			16						6		4			125								1	1																1		2	1					2					1								6		1	3	14	1	3										163		25		1	2		2		9	2	254						15										5										3				1	1												5			1									
2		1					6	1			10							14			10	3		4		1		3			7							12						1		2			65				7			1	17				2				6		1							1		1	1						2	1			2	1							4	1		8	12	3			4		1						110		31			9		1		8		228						4									5	3										2					3										1	1	6			1						1			
1							7	1	1		43							10			14			2				5	4		5				2			12	1					1		3	1		288								9								2						2	1		1		1						1	3				2	1							8	1		2	13		5										243		67			8		2		11		448						1										9										1				1	1										2		2												
	1						6		3	1	21							29		1	2			1	3			4		1	9			1				13	1				1			7			331	3			1				1										5	2					1		1							3	2				1								10		1	1	11	1	1										66		23			4		1		4		290						3	1									9										1				1											3	1													
6							2	1	2		15							13			7					1	3	5	6		7							12						1	1	7			231						1		16																	2	1	2						5	2	1		2	1								5	1	1	1	11	1	2		1								247		56		1			1		14		270						6	1								1	7										1				3	1											1	7												
3					1		9	1		1	2							15			4							5	9		3	1			1			17						9	1	3			190								2	1				2			4						1	1			1	2	1																		1		1	3	5	3	7		3								246		42			2		3		10		303						16	2								1	7						1				1															2		6			1		1							
							2	1	1		17			4				10			49					1	4				13							3								2			354				2				13		1																1	5										3									3		1	10	15	4	3										217		19			4		1		7		304		2		3												12															1										2														
3							4				7							5			11			1		1		1	5		1				1			10					4				1		251				1				15		2	1											1			2	1							1					1	1				1			3	2		4	17	2											155		92			1		1		14		128						6					1					1						1								2											1														
9	1						5	2	3	1	23							13			9							4	8		20	1			3			18					2			2			362				2			1	9								2								2	5	2		1									1									1	2	2		6	5	9		3								153		15			2				8		291						3	2					1				4										1				29													6												
3							5		1		37						1	18							1		3	4			7	2						7						9		2		1	75				1				4		1						1		1	1			2			5	2	1								1			2	3							5		2	2	7	2	1		1		1			1			127		26					1		6	1	263																3										1				7											3	4	7			1									
							7	3	4	2	30							20			2	2			2			9	3		15							10								1		2	99		1					3	12								1					1	1			1	3								1				1	1		1		6			3	2	1	5	2		11		1								193		25			2				3	1	212		1				7					1				1	4																						1					3												
4								1			23							16			6			2			1	2	3		15				11			6								4			186				1				7								2						2			2	1		1					5	1							1					2			2	15	2	10				1						103		38			2		2		12	1	293						10	1				1					2						1																					2			2									
							5	1	1	1	29							14			9				4						16							5						3		11	1		130								3	5	1						1						1			1		5	1					3					2								7	2		3	17	1	15				1						454		26			3		2		30		389						9									2	2							1							4		1											7					1							
							7	2	5		33				1		1	10			3				1		1	5			26				6			22	1					8	1				174				3				5				4				3						1		2									3					4	1		1		1			5	2	2	1	17												250		49			3		1		13	1	277						13					1				1	2							3							12											1		5			2									
							2			1	19							12			23						1	3	1		8							7						5		5			80			1					20														1				1	1							3	1			6					6			2		1	2	3		3										202		41			2		2		17		257						5									2	6														1											9		7												
2							4	2	1		18							17			16						1		4		5				2			14	1				4	3		4			60								25	1	3	1											1					4						2	5				3								4				12	1	1		1								385		95			1		1		13		301			1			14									1	2										1				1		1										1	11												
2							13			2	36							28			9					2	5	5	13		22				6			18					2	14		8		1	459		2		4				20								2		7				2		2			2	1					1	3				3	2			1	6			2	4	1	1	17	3	3										520		99					2		22		439						6	3									22		1				1				1				3	1											1	18			1									
5							1		1		16							9			3						2		3		6				2			10						1		2			395				2				9																2	1	3							4						1	1								1		11	1	1		1		2						154		88					5		8		134			1			8									1	4															1											1	1												
1								2			6							11			4					7		2			20							31			3					1			660				4				2		4																1								2												3		1	12	6												130		64					4		8		167		2		3												11																									2														
10							1				5							11			1								7		8				1			15						1					170				7																		1				2																				1				3		2				1						110		130					2		2		54						2									1	1							1						1	7											2														
							3			1	8							17			10			1	1			1			2	3						26						1		1			175				19				2	1													1											1	2				2	1			1				2			2	8	1					1						368		128							6	1	138						1																								1											3		4												
2									1	1								3			3						1		5									36						1		1			121				4				2										2				2			2		2						1	3				1										1	4	1	1					1						102		124					2		4		52						1										3																											1												
							7		1		4							10			1						1		5		1							51					2	1					145				13				1		1												1				1								1			1									1			1	9	1	1										257		88			1				1		68						1									1																												1			1									
3									2		2							5										1							1			98						1					74				5				2																				1						1					1									2		2	1											46		68							1		27						1										3														1	1												3												
							5		7	2	7		3					6			2					3		13			13							208						3	2				28				8						1																2																	3						4	6		5		2								99		22					2		2		44																1										2				2	2												3												
3							12		2		8							22			2				3			4			5							19						1		3			75				11					1												1				2		2											1	1		2					7		1	1	10		16		2								246		56					3		4		321						7	1				1					5										3						1											3												
							11	2	4	1	41							12		1	4							5	2		4							19								1			69				4				2	1	1														2		3												9					8			6	1		7	5		14		1								233		20			1		1	1	7		816						9									1	2										1	1			1	1										4	1	8						1						
							7	1			26							13			3	1		2				2			3				2			20					1	9		1			96				8				1			1											1	1		1	1	2	1						1				1								4	1			30	2	3										294		42			4		2		4		454						8										3																									2		1			1									
1					1		11		1	1	17							14				3			2			1			2				1			46	2				2	11		2			108				1					1			1				1		1			1	1	1	1	1		1						2					4								12			1	42	3	6										353		30			4		1		8		454			1			26	2									2										1				1											2					1									
							4		1	2	11							13	1		1				1			2	1		6				2			39								3			54				2				3				1										1					2							1				2								11			1	13	4	12		2		1						239		36			5		1		9		300			3			13										2							1			1				2													3												
3							3				15			1				12			10					1	3	1			16							37								1			76				3				2										1				3					1										1	4								4			15	20	1	3				3						189		32			1		1		6		205												1				9																									3										1				
							5				7							5			2	1		1				2			1			1	1			37					2	17	3	3			75								1				1	2					3				1		2	2		1						1	4				8								19				33	4	2				3						308		28	1	1	2		2		1		581			2			27	2									4						1								1	1										1														
14							11			6	5							4			1	4		1				1			14							23						5		1			50				3				3								2						6			1		4	1						1			1	9					15			22			2	1	1	12										225		38							3	1	496						23									2	4										3				2											3														
					1		2				2							3			2	1						1			3							11					1						99				1				1					3													2	1							1				1								4			1	11	1	6										218		26					1		23		181			2			5																	1							3																1									
							14		1		24							10			4										7							22	1					1					73				3												3										1	1	1						1				3			2		9			15			7	18	7	14		2								276		35			5				16	1	379					1	11									2	7										1															8		3												
							12		2		6							8			5			1			1	3	1		4							21						5		5	1		109				4				2	1														1	1	1		4							2				5	2							19		2		25												424		17					1		39		620						20										2							2							3	1	3											8												
							5			1	18							6			3	2		1				1	9		4				1			25						2	1	2			63				2				1				1													2	1	1			1					1						1		3			17			1	8	3	12										242		21			2		1		14		318						19										1														1	1	1									6		8												
							12		1		7							2			10	1		1			1	3	2		6				1			39					2	9		2			40				1			1	1					1			3						3	1		2	1	2							4					2							9			3	11	1	2										588		18		1			2		26	1	476						21					1					3										3				1																									
1							4			1	2							7			14	2				2	1	1	3		11							37											109								4					1			1		1								1	1											1			1	1	9			9	1		7	4	2	9										249		39			3				3		248					4	10										3										1				5	2										4	2	5												
2							2				18							3			4	1		1		2	1	2	2		3				1			20					2	4					200								4														1					1						1					1								1	1	1	1	15	6	2				1						224		89							9		203						9																																			2					2									
							5		1	2	17							13			4			2		1		1			2							58			3					2			28								5		1														2		3								3			1	1								5		3	15	9	3											338		28					2		6		147				5												2															1														3										
5							1		1		5							18	1		5				1			1	1		5				2			52						4					31				8				3								1										4																				4	4		2	5	2	4		2								277		50					1		4		94			4			3									3	1														7													2												
							8	2	16	1	7							48			11			1			1	1			9							14						2		1			27				6				3																		9		1										1									6		3	14		1										148		23					2		3		120						2										6										2					1										1		4												
							8				22							7			5	2		1			1		2		11				1			32											101								2								2						5	1	2			2											2								28			3	25	1	9										17		21		1			1		4		415			1			8	1				2					3										2				1		3									1	3													
1		1					4		3	2	27							8			4			1			1	1	4		7							31						4		2			37				1				6								2						1				1	3							2				2					1			20	1		2	13	1	12				2						282		14		1	3		1		11	1	389					3	9	1								1															1	1										3	1	1			2									
							14				30							2			9	3		1	2		1	2			5				2			27	2				1	1		3			95				2								1	2			2						1	1	1	1		7						1					2					1			15			2	13	4	5				2						328		32			1		1		7	1	438						14										1														1											3					2									
2							4			2	6							6			7						1		4		10							41						9	1	1		1	57								2								1								3			3											2				1	5			21	1	2	6	12		11		1							2	198		15			4		2		4	1	321						18										2										3					1										2		4												
							7	1	1		8							10			8	1				1	1	2	1		11				2		1	36						11		3			42								2																	1		2								1											11	3		8	7	3	8		2								281		16			4		2		5	2	316					2	9									2	11										1					3												6			2									
					1		3				7					1		10			4	1					2	2			10				3			39	1					11		1			50									1			1	1			1						3	1				2						1	2		1		10	4		1					14		1	3	19	1	2				1						478		23		1					35		465			1			17					1					3														4											4					1									
1							4	1			8							6				1		3		2	2	4	1		13				3			44						5		5			25								3				1				1				1		1												1				4	2							17			14	14		10										271		14			7		1		7		359						8										5										1				3	2	1									4	3	3												
1							4		1		20							4	1			4									1				1			33						12		4			184								3													1	2			1	2	1						2					2	1							2				19		5				2						326		35		1	4		2		3		385						23					1					5		1																							1		1												
2							11				5							3			16	1		1	1			4			9	1			2			40	1				5	8	2	4			185								6								2						1	1	2	2		3						2		1			4	1							6	1	1	6	11	3											299		25					3		13	1	395			3			13									1			1								1				5	1											1	3												
							12				28							10			5				1		1	3			2				1			15	1				1	7		11			123				1				7		1						1										2	3	1					2	2		1		1	2			1				10		1		13	1	9				1						547		20			2		3		5		385						21										6															1										3		2												
							9			1	19							12			8	4				1	1	2	1		4							38					5	6		3			170						1		1	1	1			1								1	3	1				3	1									1	1								6	1		3	7	1	5				1						437		45			3		2		10	1	558			1			12									1	4										1				4	2	1										1	1			1									
1							12			2	21							6			10			1			5				11							29			2					3			2				1				1		2		1	2					1						7			3											2								6			20	20	1	2										543		15					3		18		702																11															1										3														
							5				15							6	1		15	1		1			1				1				1			12					3	6		5			95				1						1			1					1				1					6	1						1				2	4							12			3	19	1	3				2						1004		25		1			7		28		946						23					2				1	4															2										3		4												
							6				32							11			4	1				1		1	1		3							22					2	2		5			157				1				4					1			2		1				2	1	1			6											2	2							5			2	26	5	2										427		26		2	2		1		10		486			1			9										3														1	2										2	1	4			1									
							9	1		1	24							7			2	2				1		2			6	1			1			17					2	8	1	13			166				1				3								1						1	2	10	2		2	1					1	2	1			6	1			1	2			12	1			16	2	1				2						733		31		2	1		2		15		624			1			16										4						2								3	1										4					1									
							3	1		2	12							8			12	1		1				2	5		11				1			46						8		2		2	43						1	1	5								3		1				1		2	6		6	1						1							1	1	7			20	1		13	6	3	10		3								303		46			1		1		22		442					1	16									2	5														4	1										3		1												
							10				5				1			4			9	1		1		1	4	1	2		7							43					2	8		8			106								1		1			1									2	1	4	2		2						4			1		6								9			5	6	3	6										598		27					3		16		537						14																				1				1	2										1		4			1									
